partner;registrikood;esindaja;e_post;roll;telefon
Tehisaru Koolitus OÜ;10000001;Jaan Kask;jaan.kask@tehisaru-naidis.ee;esindaja;+372 5000 0001
Tehisaru Koolitus OÜ;10000001;Mari Mets;mari.mets@tehisaru-naidis.ee;asendaja;
AI Akadeemia OÜ;10000002;Liis Mägi;liis.magi@ai-akadeemia-naidis.ee;esindaja;+372 5000 0002
AI Akadeemia OÜ;10000002;Rein Roos;rein.roos@ai-akadeemia-naidis.ee;asendaja;
Digioskus MTÜ;80000003;Peeter Saar;peeter.saar@digioskus-naidis.ee;esindaja;+372 5000 0003
Digioskus MTÜ;80000003;Kai Kuusk;kai.kuusk@digioskus-naidis.ee;asendaja;
Nutikoolitus OÜ;10000004;Kadri Lepik;kadri.lepik@nutikoolitus-naidis.ee;esindaja;+372 5000 0004
Nutikoolitus OÜ;10000004;Tõnu Tamme;tonu.tamme@nutikoolitus-naidis.ee;asendaja;
E-õppe Ekspert OÜ;10000005;Toomas Rand;toomas.rand@eoppe-naidis.ee;esindaja;+372 5000 0005
E-õppe Ekspert OÜ;10000005;Helen Hall;helen.hall@eoppe-naidis.ee;asendaja;
Targa Töö Koolitus OÜ;10000006;Anu Sepp;anu.sepp@targatoo-naidis.ee;esindaja;+372 5000 0006
Targa Töö Koolitus OÜ;10000006;Margus Mänd;margus.mand@targatoo-naidis.ee;asendaja;
