partner;registrikood;hankeosa;koht;kontaktisik;e_post;uhikuhind
Tehisaru Koolitus OÜ;10000001;OSA-1;1;Jaan Kask;jaan.kask@tehisaru-naidis.ee;58
AI Akadeemia OÜ;10000002;OSA-1;2;Liis Mägi;liis.magi@ai-akadeemia-naidis.ee;60,50
Nutikoolitus OÜ;10000004;OSA-1;3;Kadri Lepik;kadri.lepik@nutikoolitus-naidis.ee;63
Targa Töö Koolitus OÜ;10000006;OSA-1;4;Anu Sepp;anu.sepp@targatoo-naidis.ee;65,50
E-õppe Ekspert OÜ;10000005;OSA-1;5;Toomas Rand;toomas.rand@eoppe-naidis.ee;68
AI Akadeemia OÜ;10000002;OSA-2;1;Liis Mägi;liis.magi@ai-akadeemia-naidis.ee;39
Digioskus MTÜ;80000003;OSA-2;2;Peeter Saar;peeter.saar@digioskus-naidis.ee;41,50
Tehisaru Koolitus OÜ;10000001;OSA-2;3;Jaan Kask;jaan.kask@tehisaru-naidis.ee;44
Targa Töö Koolitus OÜ;10000006;OSA-2;4;Anu Sepp;anu.sepp@targatoo-naidis.ee;46,50
E-õppe Ekspert OÜ;10000005;OSA-3;1;Toomas Rand;toomas.rand@eoppe-naidis.ee;16
Tehisaru Koolitus OÜ;10000001;OSA-3;2;Jaan Kask;jaan.kask@tehisaru-naidis.ee;17,50
AI Akadeemia OÜ;10000002;OSA-3;3;Liis Mägi;liis.magi@ai-akadeemia-naidis.ee;19
Digioskus MTÜ;80000003;OSA-3;4;Peeter Saar;peeter.saar@digioskus-naidis.ee;20,50
Targa Töö Koolitus OÜ;10000006;OSA-3;5;Anu Sepp;anu.sepp@targatoo-naidis.ee;22
Digioskus MTÜ;80000003;OSA-4;1;Peeter Saar;peeter.saar@digioskus-naidis.ee;27
Nutikoolitus OÜ;10000004;OSA-4;2;Kadri Lepik;kadri.lepik@nutikoolitus-naidis.ee;30
AI Akadeemia OÜ;10000002;OSA-4;3;Liis Mägi;liis.magi@ai-akadeemia-naidis.ee;33
